#,pair_id,aspect,route,claim_A,stance_A,claim_B,stance_B,nhãn_pipeline,soft_label,BẠN_ĐỒNG_Ý?(y/n),nhãn_đúng_nếu_n,ghi_chú
11,ICLR_2021_Conference_-5VpoDCExrU:meaningful comparison:ICLR_2021_Conference_-5VpoDCExrU:R2:014:ICLR_2021_Conference_-5VpoDCExrU:R4:009,meaningful comparison,majority,It would be better if there is a comparison between the two different methods in the evaluation section.,RECOMMENDATION,It is not clear if the proposed time encoding technique is better than the related methods (there are many related methods for encoding/representing time).,CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
12,ICLR_2021_Conference_-GLNZeVDuik:soundness:ICLR_2021_Conference_-GLNZeVDuik:R2:006:ICLR_2021_Conference_-GLNZeVDuik:R3:007,soundness,debate,The first results on molecule generation are very good when compared to those obtained with other approaches.,POSITIVE,Existing flow models for graphs do not handle the categorical data in proper manners and are permutation-dependent.,NEGATIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, COMPLEMENTARY:0.5, UNRELATED:0.1667",,,
13,ICLR_2021_Conference_-GLNZeVDuik:substance:ICLR_2021_Conference_-GLNZeVDuik:R1:006:ICLR_2021_Conference_-GLNZeVDuik:R4:005,substance,majority,I would encourage the authors to include generated samples/visualizations which may reflect some pathological failure modes of the algorithm.,RECOMMENDATION,"The literature review is comprehensive, and the method is well-placed among the cited papers.",POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, COMPLEMENTARY:0.6667",,,
14,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R1:017:ICLR_2021_Conference_-IXhmY16R3M:R3:011,originality,unanimous,A similar property holds for those networks as the one described above where only two distinct parameters are used for the weights of the network and it would be interesting to see if your results also can be applied to obtain depth separations.,POSITIVE,The proof technology itself is quite interesting and is based on the ideas of Lie algebras.,POSITIVE,COMPLEMENTARY,COMPLEMENTARY:1.0,,,
15,ICLR_2021_Conference_-5W5OBfFlwX:motivation:ICLR_2021_Conference_-5W5OBfFlwX:R1:015:ICLR_2021_Conference_-5W5OBfFlwX:R2:012,motivation,debate,I am not sure why the authors resort to EXP type algorithms for a stochastic problem.,CONCERN,"Even if it is useful, why the order regarding T matters?",CONCERN,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.3333, UNRELATED:0.1667",,,
16,ICLR_2021_Conference_-IXhmY16R3M:clarity:ICLR_2021_Conference_-IXhmY16R3M:R1:012:ICLR_2021_Conference_-IXhmY16R3M:R2:000,clarity,debate,It would be better to define separately what the activation units should be (satisfying the differential equations) and then use it in all places where it is needed.,RECOMMENDATION,"The paper is well-written, clear and organized well.",POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.5, COMPLEMENTARY:0.3333, UNRELATED:0.1667",,,
17,ICLR_2021_Conference_-5VpoDCExrU:substance:ICLR_2021_Conference_-5VpoDCExrU:R2:015:ICLR_2021_Conference_-5VpoDCExrU:R4:008,substance,debate,There is little discussion about the results of the experiments.,CONCERN,"In section 4, the authors only described the proposed time encoding technique, while other parts of the log representation (such as encoding a log entry) were not described.",CONCERN,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.5, COMPLEMENTARY:0.3333, UNRELATED:0.1667",,,
18,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R1:006:ICLR_2021_Conference_-IXhmY16R3M:R2:001,originality,unanimous,Highlighting new connections to dynamical systems has recently been a fruitful direction.,POSITIVE,The approach of relating DNN universal approximation problem to controllability of ensemble of control systems is interesting.,POSITIVE,COMPLEMENTARY,COMPLEMENTARY:1.0,,,
19,ICLR_2021_Conference_-5W5OBfFlwX:originality:ICLR_2021_Conference_-5W5OBfFlwX:R1:007:ICLR_2021_Conference_-5W5OBfFlwX:R2:002,originality,debate,The technical part on how to identify the best expert is already dealt with by the analysis in Auer et al. 2002.,CONCERN,"It applied EXP4, originally developed for MAB, to RL applications and demonstrated its advanced empirical performance.",POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.5",,,
20,ICLR_2021_Conference_-GLNZeVDuik:clarity:ICLR_2021_Conference_-GLNZeVDuik:R4:009:ICLR_2021_Conference_-GLNZeVDuik:R2:005,clarity,debate,The use of ill-defined terms and lack of clarity hamper confidence.,CONCERN,The paper is well written and the proposed solution is clearly presented in sections 2 and 3.,POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.1667, CONTRADICTION:0.3333, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.3333",,,
21,ICLR_2021_Conference_-6vS_4Kfz0:soundness:ICLR_2021_Conference_-6vS_4Kfz0:R1:014:ICLR_2021_Conference_-6vS_4Kfz0:R2:008,soundness,debate,Both methods are known to produce highly performant and stable solutions but are also significantly slow compared to Deep RL,CONCERN,Results show improvement in performance but it is not clear to me why.,CONCERN,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.5, COMPLEMENTARY:0.3333, UNRELATED:0.1667",,,
22,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R2:002:ICLR_2021_Conference_-IXhmY16R3M:R3:011,originality,unanimous,The results are a bit more general than existing literature in the same topic.,POSITIVE,The proof technology itself is quite interesting and is based on the ideas of Lie algebras.,POSITIVE,COMPLEMENTARY,COMPLEMENTARY:1.0,,,
23,ICLR_2021_Conference_-757TnNDwIn:soundness:ICLR_2021_Conference_-757TnNDwIn:R2:003:ICLR_2021_Conference_-757TnNDwIn:R4:006,soundness,debate,"I lean slightly against acceptance due to poor presentation, limited comparisons on most evaluations, and fairly limited benefits of the approach given its complexity and cost.",CONCERN,"All papers with more than two authors are written as 'et al.', and there are glaring inconsistencies. arXiv is mentioned in multiple different ways and different fonts are used for different entries.",NEGATIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.5, COMPLEMENTARY:0.3333, UNRELATED:0.1667",,,
24,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R1:000:ICLR_2021_Conference_-IXhmY16R3M:R3:011,originality,unanimous,The paper gives a fresh perspective to a standard question in neural networks concerning their power to represent or approximately represent continuous functions.,POSITIVE,The proof technology itself is quite interesting and is based on the ideas of Lie algebras.,POSITIVE,COMPLEMENTARY,COMPLEMENTARY:1.0,,,
25,ICLR_2021_Conference_-6vS_4Kfz0:soundness:ICLR_2021_Conference_-6vS_4Kfz0:R1:014:ICLR_2021_Conference_-6vS_4Kfz0:R3:006,soundness,majority,Both methods are known to produce highly performant and stable solutions but are also significantly slow compared to Deep RL,CONCERN,The large variance of the speedup makes it hard to get confirmation about the generality of the overall method.,CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
26,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R1:005:ICLR_2021_Conference_-IXhmY16R3M:R2:002,originality,majority,The reviewer there is technical novelty in the paper and also the result is quite elegant.,POSITIVE,The results are a bit more general than existing literature in the same topic.,POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, COMPLEMENTARY:0.6667",,,
27,ICLR_2021_Conference_-757TnNDwIn:soundness:ICLR_2021_Conference_-757TnNDwIn:R1:005:ICLR_2021_Conference_-757TnNDwIn:R3:011,soundness,debate,"GA-NAS beats the state-of-the-art search algorithms proposed for NAS on public benchmarks, including NAS-Bench-101, NAS-Bench-201, and NAS-Bench-301.",POSITIVE,I'm concerned that a GAN-based approach is therefore limited in its search ability.,CONCERN,PARTIAL_CONTRADICTION,"PARTIAL_AGREEMENT:0.1667, PARTIAL_CONTRADICTION:0.5, COMPLEMENTARY:0.3333",,,
28,ICLR_2021_Conference_--gvHfE3Xf5:soundness:ICLR_2021_Conference_--gvHfE3Xf5:R1:035:ICLR_2021_Conference_--gvHfE3Xf5:R3:029,soundness,debate,"They claim that a meta-learned model cannot learn the compositional structure of the tasks, since meta-learning is insufficient to establish the inductive biases required for compositional understanding.",NEGATIVE,A condition for accepting is at least ensuring that the details of all the generated samples (compositional or not) are included in the paper.,RECOMMENDATION,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.1667, PARTIAL_CONTRADICTION:0.3333, COMPLEMENTARY:0.3333, UNRELATED:0.1667",,,
29,ICLR_2021_Conference_-GLNZeVDuik:soundness:ICLR_2021_Conference_-GLNZeVDuik:R1:008:ICLR_2021_Conference_-GLNZeVDuik:R2:007,soundness,debate,"The CNF framework helps scaling normalizing-flow based approaches, and improves the stability and performance on standard benchmarks.",POSITIVE,The second experiment on graph coloring shows the validity of the proposed CNF even on an NP-hard optimization problem.,POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.1667, COMPLEMENTARY:0.8333",,,
30,ICLR_2021_Conference_-GLNZeVDuik:soundness:ICLR_2021_Conference_-GLNZeVDuik:R1:003:ICLR_2021_Conference_-GLNZeVDuik:R3:012,soundness,debate,"With experiments on some synthetic domains, and benchmarking tasks like Zinc250, the authors empirically demonstrate that CNF-based algorithms perform competitively and often improve significantly on related approaches like Latent NF, discrete flows.",POSITIVE,"The permutation-invariant nature of the proposed model results in a stable performance on the graph coloring problem, while the baseline RNN models are deeply affected by the order choices.",POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.1667, COMPLEMENTARY:0.6667, UNRELATED:0.1667",,,
31,ICLR_2021_Conference_-757TnNDwIn:clarity:ICLR_2021_Conference_-757TnNDwIn:R3:027:ICLR_2021_Conference_-757TnNDwIn:R4:015,clarity,majority,Table 2 caption could be more descriptive.,CONCERN,"These are very elaborate, which makes it very difficult to tell what is exactly contributing to the algorithm working.",CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
32,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R1:005:ICLR_2021_Conference_-IXhmY16R3M:R3:011,originality,unanimous,The reviewer there is technical novelty in the paper and also the result is quite elegant.,POSITIVE,The proof technology itself is quite interesting and is based on the ideas of Lie algebras.,POSITIVE,COMPLEMENTARY,COMPLEMENTARY:1.0,,,
33,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R1:000:ICLR_2021_Conference_-IXhmY16R3M:R2:006,originality,debate,The paper gives a fresh perspective to a standard question in neural networks concerning their power to represent or approximately represent continuous functions.,POSITIVE,"The contribution seems quite incremental, and the significance of the contribution is not very convincing in both theoretical and practical senses.",CONCERN,CONTRADICTION,"PARTIAL_AGREEMENT:0.1667, CONTRADICTION:0.3333, PARTIAL_CONTRADICTION:0.3333, COMPLEMENTARY:0.1667",,,
34,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R1:014:ICLR_2021_Conference_-IXhmY16R3M:R2:001,originality,majority,The authors should clarify more what parts of the approach via Lie algebras is novel and how it is compared specifically with prior works.,RECOMMENDATION,The approach of relating DNN universal approximation problem to controllability of ensemble of control systems is interesting.,POSITIVE,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
35,ICLR_2021_Conference_-GLNZeVDuik:clarity:ICLR_2021_Conference_-GLNZeVDuik:R4:009:ICLR_2021_Conference_-GLNZeVDuik:R3:022,clarity,majority,The use of ill-defined terms and lack of clarity hamper confidence.,CONCERN,"It is preferable if the paper can provide a visualization of the latent space for the actual molecular graph generation experiments, not the simulated ones of Figure 2 and 3.",RECOMMENDATION,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
36,ICLR_2021_Conference_-IXhmY16R3M:originality:ICLR_2021_Conference_-IXhmY16R3M:R1:006:ICLR_2021_Conference_-IXhmY16R3M:R2:003,originality,debate,Highlighting new connections to dynamical systems has recently been a fruitful direction.,POSITIVE,"The paper contains some interesting ideas and new results, but it seems it is more an incremental work to existing literature and the contribution might be a bit limited and not significant enough.",CONCERN,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.5",,,
37,ICLR_2021_Conference_-5VpoDCExrU:substance:ICLR_2021_Conference_-5VpoDCExrU:R2:016:ICLR_2021_Conference_-5VpoDCExrU:R3:006,substance,debate,It would be better if some discussion of why the use of the proposed representation can or cannot improve the performance could be mentioned at the end of each experiment.,RECOMMENDATION,The technical contribution of the paper is very limited.,NEGATIVE,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.5, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.3333",,,
38,ICLR_2021_Conference_-5VpoDCExrU:substance:ICLR_2021_Conference_-5VpoDCExrU:R2:016:ICLR_2021_Conference_-5VpoDCExrU:R4:008,substance,majority,It would be better if some discussion of why the use of the proposed representation can or cannot improve the performance could be mentioned at the end of each experiment.,RECOMMENDATION,"In section 4, the authors only described the proposed time encoding technique, while other parts of the log representation (such as encoding a log entry) were not described.",CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
39,ICLR_2021_Conference_--gvHfE3Xf5:substance:ICLR_2021_Conference_--gvHfE3Xf5:R1:018:ICLR_2021_Conference_--gvHfE3Xf5:R2:001,substance,unanimous,This fact makes it all the more important to define compositionality.,POSITIVE,"The authors point out, rightly, that meta-learning algorithms have meta-biases and it is important to understand these, from both the scientific and engineering perspectives.",POSITIVE,COMPLEMENTARY,COMPLEMENTARY:1.0,,,
40,ICLR_2021_Conference_-757TnNDwIn:clarity:ICLR_2021_Conference_-757TnNDwIn:R1:001:ICLR_2021_Conference_-757TnNDwIn:R3:027,clarity,majority,"After the revision, the description of the method is clearer (Sec 3.2), and the experimental results are clearer (Sec 4).",POSITIVE,Table 2 caption could be more descriptive.,CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
41,ICLR_2021_Conference_-IXhmY16R3M:clarity:ICLR_2021_Conference_-IXhmY16R3M:R1:022:ICLR_2021_Conference_-IXhmY16R3M:R2:000,clarity,debate,"Currently, several parts of the paper read off as a bit mysterious for non-experts.",CONCERN,"The paper is well-written, clear and organized well.",POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.5, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.3333",,,
42,ICLR_2021_Conference_-757TnNDwIn:originality:ICLR_2021_Conference_-757TnNDwIn:R1:008:ICLR_2021_Conference_-757TnNDwIn:R4:017,originality,debate,The idea of NAS based on importance sampling for rare event simulation in the method seems interesting.,POSITIVE,Without the discriminator the algorithm appears to be REINFORCE but with a more complicated generator network.,NEGATIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, COMPLEMENTARY:0.5, UNRELATED:0.1667",,,
43,ICLR_2021_Conference_--gvHfE3Xf5:soundness:ICLR_2021_Conference_--gvHfE3Xf5:R1:049:ICLR_2021_Conference_--gvHfE3Xf5:R3:008,soundness,majority,"But since the views in this community are not necessarily broadly shared, many of the statements, interpretations, and claims come across as quite strong and not fully corroborated.",CONCERN,"They conclude that there is a strong difference between the strategy learned by the algorithm, which seems to use mostly the statistics, compared to humans that seem to make use of a compositional inductive bias.",CONCERN,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.6667, COMPLEMENTARY:0.3333",,,
44,ICLR_2021_Conference_--gvHfE3Xf5:soundness:ICLR_2021_Conference_--gvHfE3Xf5:R1:049:ICLR_2021_Conference_--gvHfE3Xf5:R3:006,soundness,debate,"But since the views in this community are not necessarily broadly shared, many of the statements, interpretations, and claims come across as quite strong and not fully corroborated.",CONCERN,"The authors go on to show supporting evidence that most likely, humans are using a compositional inductive bias when trying to uncover the hidden pattern, whereas the meta-learning algorithms do not.",POSITIVE,PARTIAL_AGREEMENT,"PARTIAL_AGREEMENT:0.5, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.3333",,,
45,ICLR_2021_Conference_-757TnNDwIn:soundness:ICLR_2021_Conference_-757TnNDwIn:R1:013:ICLR_2021_Conference_-757TnNDwIn:R2:000,soundness,debate,"To be a fair comparison, it would be better to compare [number of queries * resource consumed per query].",RECOMMENDATION,A flexible but complex and expensive NAS method.,NEGATIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.3333, UNRELATED:0.1667",,,
46,ICLR_2021_Conference_-GLNZeVDuik:clarity:ICLR_2021_Conference_-GLNZeVDuik:R4:008:ICLR_2021_Conference_-GLNZeVDuik:R2:005,clarity,debate,The most critical section in the paper is least clearly explained--section 2.2.,CONCERN,The paper is well written and the proposed solution is clearly presented in sections 2 and 3.,POSITIVE,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.1667, CONTRADICTION:0.1667, PARTIAL_CONTRADICTION:0.5, COMPLEMENTARY:0.1667",,,
47,ICLR_2021_Conference_-6vS_4Kfz0:soundness:ICLR_2021_Conference_-6vS_4Kfz0:R1:006:ICLR_2021_Conference_-6vS_4Kfz0:R3:005,soundness,debate,"The authors only look at three benchmarks, but they were well-chosen (two representative vision models and one large language model).",POSITIVE,One of the main drawbacks of the paper is that the paper only tests on a single type/configuration of hardware.,CONCERN,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.5, PARTIAL_CONTRADICTION:0.1667, COMPLEMENTARY:0.3333",,,
48,ICLR_2021_Conference_-757TnNDwIn:substance:ICLR_2021_Conference_-757TnNDwIn:R1:003:ICLR_2021_Conference_-757TnNDwIn:R2:007,substance,debate,The paper provides interesting results for neural architecture search.,POSITIVE,The computational cost of the latter is not discussed.,CONCERN,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.5, COMPLEMENTARY:0.3333, UNRELATED:0.1667",,,
49,ICLR_2021_Conference_-GLNZeVDuik:clarity:ICLR_2021_Conference_-GLNZeVDuik:R1:007:ICLR_2021_Conference_-GLNZeVDuik:R3:022,clarity,majority,"This would help with the readability of the paper, and improve understanding.",POSITIVE,"It is preferable if the paper can provide a visualization of the latent space for the actual molecular graph generation experiments, not the simulated ones of Figure 2 and 3.",RECOMMENDATION,COMPLEMENTARY,"PARTIAL_AGREEMENT:0.3333, COMPLEMENTARY:0.6667",,,
50,ICLR_2021_Conference_-6vS_4Kfz0:soundness:ICLR_2021_Conference_-6vS_4Kfz0:R1:015:ICLR_2021_Conference_-6vS_4Kfz0:R4:012,soundness,debate,The transferred policies are underperforming those from scratch,NEGATIVE,It is difficult to conclude that EGRL can generalize to other workloads.,CONCERN,PARTIAL_CONTRADICTION,"PARTIAL_AGREEMENT:0.3333, PARTIAL_CONTRADICTION:0.3333, COMPLEMENTARY:0.3333",,,
